Price,Adj Close,Close,High,Low,Open,Volume
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI
Datetime,,,,,,
2025-10-13 03:45:00+00:00,25213.80078125,25213.80078125,25239.849609375,25176.80078125,25182.80078125,0
2025-10-13 03:50:00+00:00,25216.0,25216.0,25223.94921875,25200.94921875,25213.849609375,0
2025-10-13 03:55:00+00:00,25196.44921875,25196.44921875,25216.94921875,25187.30078125,25216.599609375,0
2025-10-13 04:00:00+00:00,25163.349609375,25163.349609375,25197.05078125,25154.849609375,25196.19921875,0
2025-10-13 04:05:00+00:00,25201.900390625,25201.900390625,25203.80078125,25153.5,25163.19921875,0
2025-10-13 04:10:00+00:00,25216.25,25216.25,25217.25,25197.5,25201.349609375,0
2025-10-13 04:15:00+00:00,25229.599609375,25229.599609375,25232.44921875,25211.55078125,25216.5,0
2025-10-13 04:20:00+00:00,25202.400390625,25202.400390625,25229.75,25200.80078125,25229.75,0
2025-10-13 04:25:00+00:00,25201.30078125,25201.30078125,25206.900390625,25194.05078125,25203.19921875,0
2025-10-13 04:30:00+00:00,25192.19921875,25192.19921875,25205.0,25185.0,25200.69921875,0
2025-10-13 04:35:00+00:00,25198.849609375,25198.849609375,25199.0,25173.0,25192.75,0
2025-10-13 04:40:00+00:00,25199.25,25199.25,25203.19921875,25194.5,25198.349609375,0
2025-10-13 04:45:00+00:00,25187.55078125,25187.55078125,25202.400390625,25186.599609375,25199.349609375,0
2025-10-13 04:50:00+00:00,25185.55078125,25185.55078125,25187.44921875,25175.69921875,25186.94921875,0
2025-10-13 04:55:00+00:00,25206.30078125,25206.30078125,25209.5,25180.19921875,25186.0,0
2025-10-13 05:00:00+00:00,25206.75,25206.75,25216.150390625,25200.0,25207.849609375,0
2025-10-13 05:05:00+00:00,25211.5,25211.5,25220.69921875,25205.150390625,25206.75,0
2025-10-13 05:10:00+00:00,25206.19921875,25206.19921875,25229.400390625,25205.69921875,25212.599609375,0
2025-10-13 05:15:00+00:00,25204.55078125,25204.55078125,25211.0,25199.80078125,25206.599609375,0
2025-10-13 05:20:00+00:00,25193.849609375,25193.849609375,25204.900390625,25193.05078125,25204.55078125,0
2025-10-13 05:25:00+00:00,25191.599609375,25191.599609375,25194.69921875,25181.94921875,25193.599609375,0
2025-10-13 05:30:00+00:00,25194.849609375,25194.849609375,25196.44921875,25183.19921875,25190.94921875,0
2025-10-13 05:35:00+00:00,25196.75,25196.75,25201.25,25190.900390625,25194.75,0
2025-10-13 05:40:00+00:00,25191.400390625,25191.400390625,25200.19921875,25188.25,25196.599609375,0
2025-10-13 05:45:00+00:00,25178.44921875,25178.44921875,25195.69921875,25175.25,25191.099609375,0
2025-10-13 05:50:00+00:00,25164.900390625,25164.900390625,25185.44921875,25162.55078125,25178.349609375,0
2025-10-13 05:55:00+00:00,25181.80078125,25181.80078125,25182.099609375,25161.900390625,25164.150390625,0
2025-10-13 06:00:00+00:00,25181.05078125,25181.05078125,25183.80078125,25175.099609375,25181.849609375,0
2025-10-13 06:05:00+00:00,25180.650390625,25180.650390625,25182.900390625,25172.5,25180.80078125,0
2025-10-13 06:10:00+00:00,25179.44921875,25179.44921875,25186.05078125,25175.05078125,25179.94921875,0
2025-10-13 06:15:00+00:00,25189.599609375,25189.599609375,25192.0,25175.19921875,25179.19921875,0
2025-10-13 06:20:00+00:00,25192.80078125,25192.80078125,25193.349609375,25185.94921875,25190.44921875,0
2025-10-13 06:25:00+00:00,25198.69921875,25198.69921875,25198.94921875,25189.849609375,25192.400390625,0
2025-10-13 06:30:00+00:00,25180.69921875,25180.69921875,25202.0,25171.55078125,25198.400390625,0
2025-10-13 06:35:00+00:00,25178.94921875,25178.94921875,25185.599609375,25176.599609375,25180.55078125,0
2025-10-13 06:40:00+00:00,25189.650390625,25189.650390625,25203.400390625,25177.19921875,25178.30078125,0
2025-10-13 06:45:00+00:00,25180.599609375,25180.599609375,25189.099609375,25175.650390625,25187.150390625,0
2025-10-13 06:50:00+00:00,25179.099609375,25179.099609375,25184.80078125,25177.30078125,25180.0,0
2025-10-13 06:55:00+00:00,25191.0,25191.0,25193.349609375,25177.94921875,25179.19921875,0
2025-10-13 07:00:00+00:00,25182.900390625,25182.900390625,25192.69921875,25179.5,25190.650390625,0
2025-10-13 07:05:00+00:00,25189.44921875,25189.44921875,25195.349609375,25181.75,25182.80078125,0
