Datetime,Adj_Close,Close,High,Low,Open,Volume
2025-10-14 09:15:00+05:30,25293.3,25293.3,25306.05,25260.0,25260.0,0.0
2025-10-14 09:20:00+05:30,25301.75,25301.75,25310.1,25285.15,25290.75,0.0
2025-10-14 09:25:00+05:30,25292.2,25292.2,25301.95,25283.0,25300.7,0.0
2025-10-14 09:30:00+05:30,25283.5,25283.5,25298.05,25281.65,25291.8,0.0
2025-10-14 09:35:00+05:30,25248.35,25248.35,25293.5,25248.25,25285.75,0.0
2025-10-14 09:40:00+05:30,25236.85,25236.85,25263.8,25235.4,25249.45,0.0
2025-10-14 09:45:00+05:30,25234.45,25234.45,25246.85,25222.7,25236.7,0.0
2025-10-14 09:50:00+05:30,25224.4,25224.4,25238.8,25221.7,25234.55,0.0
2025-10-14 09:55:00+05:30,25207.55,25207.55,25225.3,25203.45,25224.3,0.0
2025-10-14 10:00:00+05:30,25194.7,25194.7,25229.45,25185.55,25206.1,0.0
2025-10-14 10:05:00+05:30,25195.0,25195.0,25196.05,25176.85,25194.7,0.0
2025-10-14 10:10:00+05:30,25196.7,25196.7,25205.1,25188.9,25195.45,0.0
2025-10-14 10:15:00+05:30,25181.6,25181.6,25202.05,25174.15,25196.65,0.0
2025-10-14 10:20:00+05:30,25194.2,25194.2,25194.2,25165.05,25181.3,0.0
2025-10-14 10:25:00+05:30,25210.45,25210.45,25213.0,25191.15,25194.7,0.0
2025-10-14 10:30:00+05:30,25214.95,25214.95,25218.35,25201.25,25210.3,0.0
2025-10-14 10:35:00+05:30,25213.2,25213.2,25217.7,25204.1,25214.8,0.0
2025-10-14 10:40:00+05:30,25219.05,25219.05,25224.1,25194.55,25213.95,0.0
2025-10-14 10:45:00+05:30,25211.5,25211.5,25240.25,25210.3,25218.25,0.0
2025-10-14 10:50:00+05:30,25204.95,25204.95,25212.7,25200.55,25212.6,0.0
2025-10-14 10:55:00+05:30,25201.65,25201.65,25212.4,25200.05,25204.7,0.0
2025-10-14 11:00:00+05:30,25192.3,25192.3,25203.05,25184.7,25201.7,0.0
2025-10-14 11:05:00+05:30,25173.15,25173.15,25200.9,25166.25,25192.2,0.0
2025-10-14 11:10:00+05:30,25174.0,25174.0,25176.65,25159.55,25173.35,0.0
2025-10-14 11:15:00+05:30,25140.8,25140.8,25173.95,25138.3,25173.65,0.0
2025-10-14 11:20:00+05:30,25132.05,25132.05,25148.45,25129.95,25141.4,0.0
2025-10-14 11:25:00+05:30,25141.55,25141.55,25141.55,25116.05,25132.0,0.0
2025-10-14 11:30:00+05:30,25136.1,25136.1,25141.05,25122.5,25140.85,0.0
